,City,Cloudiness,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
0,Saint George,0,1565496109,60,39.45,22.34,299.82,2.1
1,Vao,20,1565496110,87,59.1,26.19,286.53,3.07
2,Mataura,100,1565496110,75,-46.19,168.86,282.59,4.47
3,Broken Hill,75,1565496110,71,-31.97,141.45,284.15,11.8
4,Kaitangata,100,1565496110,79,-46.28,169.85,280.93,6.71
5,Punta Arenas,75,1565496110,69,-53.16,-70.91,274.15,9.3
6,Kavieng,100,1565496111,73,-2.57,150.8,300.78,3.51
7,Yellowknife,75,1565496111,76,62.45,-114.38,286.15,2.6
8,Rio Grande,0,1565496111,95,-32.03,-52.1,281.12,2.06
9,Antofagasta,90,1565495910,66,-23.65,-70.4,286.15,1.5
10,Albany,40,1565496111,87,42.65,-73.75,289.26,1.5
11,Eureka,1,1565496111,82,40.8,-124.16,289.82,3.5
12,Busselton,9,1565496112,41,-33.64,115.35,292.59,7.8
13,Airai,18,1565496112,54,-8.93,125.41,302.73,2.21
14,Hobart,75,1565496028,66,-42.88,147.33,284.26,6.7
15,Nong Khae,40,1565496031,70,14.34,100.87,305.37,4.1
16,Tomobe,75,1565495989,74,36.35,140.3,305.93,6.2
17,Khatanga,0,1565496112,32,71.98,102.47,301.12,4.34
18,Sungaipenuh,100,1565496113,68,-2.08,101.38,299.99,1.42
19,Barrow,84,1565496113,39,-38.31,-60.23,282.43,4.44
20,Pisco,75,1565496113,87,-13.71,-76.2,287.59,0.5
21,San Jose,40,1565496107,78,14.25,-87.96,299.15,5.1
22,Atuona,0,1565496114,76,-9.8,-139.03,299.33,9.41
23,Taggia,75,1565496114,78,43.86,7.85,300.15,2.1
24,Longyearbyen,20,1565496114,65,78.22,15.63,278.15,2.1
25,Norman Wells,75,1565496054,76,65.28,-126.83,286.15,1.5
26,Warrington,100,1565496114,93,53.39,-2.59,289.26,4.6
27,Bluff,51,1565496115,22,-23.58,149.07,291.71,5.18
28,Lasa,20,1565496115,43,34.92,32.53,297.15,2.1
29,Saldanha,100,1565496115,69,41.42,-6.55,287.82,3.08
30,Tuktoyaktuk,90,1565496115,87,69.44,-133.03,279.15,9.8
31,Ushuaia,75,1565496115,92,-54.81,-68.31,270.15,7.7
32,Tiksi,0,1565496116,64,71.64,128.87,286.82,2.24
33,Saskylakh,0,1565496116,36,71.97,114.09,295.31,4.52
34,Nikolskoye,0,1565496116,81,59.7,30.79,285.37,3.0
35,Tarbes,100,1565496116,100,43.23,0.08,291.15,1.5
36,Thompson,20,1565496116,71,55.74,-97.86,286.15,4.1
37,Half Moon Bay,20,1565496117,77,37.46,-122.43,292.15,4.1
38,Saint-Philippe,40,1565496117,100,45.36,-73.48,290.15,3.73
39,Honiara,75,1565496117,79,-9.43,159.96,303.15,3.1
40,Port Alfred,0,1565496117,87,-33.59,26.89,287.04,1.79
41,Kerman,0,1565496118,15,30.29,57.06,294.15,2.1
42,Kondinskoye,78,1565496118,77,59.65,67.41,288.14,3.98
43,The Valley,20,1565496118,74,18.22,-63.06,301.15,4.6
44,Luang Prabang,40,1565496118,79,19.89,102.14,302.15,2.1
45,Laguna,40,1565496118,88,16.17,-88.94,300.15,1.61
46,Jamestown,96,1565496119,74,-33.21,138.6,283.12,7.08
47,Clyde River,75,1565496119,100,70.47,-68.59,278.15,7.7
48,Puerto Ayora,4,1565496119,98,-0.74,-90.35,291.48,4.96
49,Northam,0,1565496119,48,-31.65,116.67,292.15,6.2
50,Ponta do Sol,32,1565496120,54,-20.63,-46.0,291.53,0.5
51,Makarov,100,1565496120,47,48.62,142.78,294.58,0.8
52,Hay River,75,1565496120,87,60.82,-115.79,287.15,2.6
53,Tautira,20,1565496121,65,-17.73,-149.15,301.15,4.6
54,Cabo San Lucas,5,1565495895,42,22.89,-109.91,303.15,1.0
55,Deputatskiy,22,1565496121,48,69.3,139.9,292.57,4.74
56,Castro,90,1565496121,100,-42.48,-73.76,280.15,3.6
57,Inhambane,0,1565496121,94,-23.87,35.38,288.3,1.6
58,Kirakira,100,1565496122,71,-10.46,161.92,301.23,0.83
59,Zabid,100,1565496122,59,14.2,44.5,293.94,2.32
60,Balabac,98,1565496122,68,7.99,117.06,303.83,4.14
61,Sabang,13,1565496122,59,13.8,121.11,305.37,2.68
62,Merauke,12,1565496123,79,-8.49,140.4,298.67,7.55
63,Lebu,75,1565496123,93,8.96,38.73,286.15,2.6
64,Hermanus,66,1565496123,78,-34.42,19.24,288.15,4.02
